id,displayName,shortName,type,patch,references_primary,overview_main_strategy,overview_playlist_title,overview_playlist_url,overview_playlist_author,overview_macro_source,overview_macro_url,overview_macro_text
ucob,絶バハムート討滅戦,UCoB,ultimate,4.11,りりーどーる (Lily Doll) - Lodestone 日記,,,,,,,
uwu,絶アルテマウェポン破壊作戦,UWU,ultimate,4.31,りりーどーる (Lily Doll) - Lodestone 日記,,,,,,,
tea,絶アレキサンダー討滅戦,TEA,ultimate,5.11,りりーどーる (Lily Doll) - Lodestone 日記,,,,,,,
p1s,万魔殿パンデモニウム零式：辺獄編1層 (煉獄の魔王エリクトニオス),P1S,savage,6.05,Game8 (ゲームエイト) - 辺獄編零式1層 攻略丨マクロ,,,,,,,
p2s,万魔殿パンデモニウム零式：辺獄編2層 (ヒッポカムポス),P2S,savage,6.05,Game8 (ゲームエイト) - 辺獄編零式2層 攻略丨マクロ,,,,,,,
p3s,万魔殿パンデモニウム零式：辺獄編3層 (獄炎鳳王フェニックス),P3S,savage,6.05,Game8 (ゲームエイト) - 辺獄編零式3層 攻略丨マクロ,,,,,,,
p4s,万魔殿パンデモニウム零式：辺獄編4層 (ヘスペロス),P4S,savage,6.05,Game8 (ゲームエイト) - 辺獄編零式4層前半/後半 攻略丨マクロ,,,,,,,
dsr,絶竜詩戦争,DSR,ultimate,6.11,りりーどーる (Lily Doll) - Lodestone 日記,,,,,,,
p5s,万魔殿パンデモニウム零式：煉獄編 1層 (プロトカーバンクル),P5S,savage,6.21,Game8 (ゲームエイト) - 煉獄編零式1層 攻略丨マクロ,,,,,,,
p6s,万魔殿パンデモニウム零式：煉獄編 2層 (ヘーゲモネ),P6S,savage,6.21,Game8 (ゲームエイト) - 煉獄編零式2層 攻略丨マクロ,,,,,,,
p7s,万魔殿パンデモニウム零式：煉獄編 3層 (アグディスティス),P7S,savage,6.21,Game8 (ゲームエイト) - 煉獄編零式3層 攻略丨マクロ,,,,,,,
p8s,万魔殿パンデモニウム零式：煉獄編 4層 (ヘファイストス),P8S,savage,6.21,Game8 (ゲームエイト) - 煉獄編零式4層前半/後半 攻略丨マクロ,,,,,,,
top,絶オメガ検証戦,TOP,ultimate,6.31,りりーどーる (Lily Doll) - Lodestone 日記,,,,,,,
p10s,パンデモニウム零式：天獄編 2層 (パンデモニウム),P10S,savage,6.41,Game8 (ゲームエイト) - 天獄編零式2層 攻略丨マクロ,,,,,,,
p11s,パンデモニウム零式：天獄編 3層 (テミス),P11S,savage,6.41,Game8 (ゲームエイト) - 天獄編零式3層 攻略丨マクロ,,,,,,,
p12s,パンデモニウム零式：天獄編 4層 (アテナ / パラス・アテナ),P12S,savage,6.41,Game8 (ゲームエイト) - 天獄編零式4層前半/後半 攻略丨マクロ,,,,,,,
p9s,パンデモニウム零式：天獄編 1層 (コキュートス),P9S,savage,6.41,Game8 (ゲームエイト) - 天獄編零式1層 攻略丨マクロ Ver1.1,,,,,,,
m5s,至天の座アルカディア：クルーザー級零式 1層 (ダンシング・グリーン),M5S,savage,7.2,Game8 (ゲームエイト) - クルーザー級零式1層 攻略丨マクロ,,,,,,,
m6s,至天の座アルカディア：クルーザー級零式 2層 (シュガーライオット),M6S,savage,7.2,Game8 (ゲームエイト) - クルーザー級零式2層 攻略丨マクロ,,,,,,,
m7s,至天の座アルカディア：クルーザー級零式 3層 (ブルートアボミネーター),M7S,savage,7.2,Game8 (ゲームエイト) - クルーザー級零式3層 攻略丨マクロ (さり式),,,,,,,
m8s,至天の座アルカディア：クルーザー級零式 4層 (ハウリングブレード),M8S,savage,7.2,Game8 (ゲームエイト) - クルーザー級零式4層前半/後半 攻略丨マクロ,,,,,,,
m10s,至天の座アルカディア：ヘビー級零式 2層 (レッドホット & ディープブルー),M10S,savage,7.4,Game8 (ゲームエイト) - ヘビー級零式2層 攻略丨マクロ,,,,,,,
m11s,至天の座アルカディア：ヘビー級零式 3層 (ザ・タイラント / キング・オブ・アルカディア),M11S,savage,7.4,Game8 (ゲームエイト) - ヘビー級零式3層 攻略丨マクロ,,,,,,,
m12s,至天の座アルカディア：ヘビー級零式 4層 (リンドブルム),M12S,savage,7.4,Game8 (ゲームエイト) - ヘビー級零式4層前半/後半 攻略丨マクロ,,,,,,,
m9s,至天の座アルカディア：ヘビー級零式 1層 (ヴァンプ・ファタール),M9S,savage,7.4,Game8 (ゲームエイト) - ヘビー級零式1層 攻略丨マクロ,,,,,,,
m1s,至天の座アルカディア：ライトヘビー級零式 1層 (ブラックキャット),M1S,savage,7.05,Game8 (ゲームエイト) - アルカディア零式1層 攻略丨マクロ,,,,,,,
m2s,至天の座アルカディア：ライトヘビー級零式 2層 (ハニーB・ラブリー),M2S,savage,7.05,Game8 (ゲームエイト) - アルカディア零式2層 攻略丨マクロ,,,,,,,
m3s,至天の座アルカディア：ライトヘビー級零式 3層 (ブルートボンバー),M3S,savage,7.05,Game8 (ゲームエイト) - アルカディア零式3層 攻略丨マクロ,,,,,,,
m4s,至天の座アルカディア：ライトヘビー級零式 4層 (ウィケッドサンダー),M4S,savage,7.05,Game8 (ゲームエイト) - アルカディア零式4層前半/後半 攻略丨マクロ,,,,,,,
fru,絶もうひとつの未来,FRU,ultimate,7.11,りりーどーる (Lily Doll) - Lodestone 日記,,,,,,,
dmu,絶妖星乱舞,DMU,ultimate,7.51,Consolegameswiki,,,,,,,
