content_id,source,url,text,phases
ucob,りりーどーる (絶バハマクロ 全Phase - 新みんとっと/H3構成/拘束具逆▽/カータTLB/進軍十字/連撃V字/群竜TLB),https://na.finalfantasyxiv.com/lodestone/character/34120564/blog/5248067/,"# マクロ全文は著作権上の理由で抜粋のみ。完全版は Lodestone 原文を参照。
# 出典: https://na.finalfantasyxiv.com/lodestone/character/34120564/blog/5248067/
# 短縮URL: https://ffxiv.link/096666
#
# 構成 (見出しのみ):
#  【P1 ツインタニア】拘束具逆▽ / 磁力○×振り分け / 第7霊災ハッチ
#  【P2 ネール】コール戦 / カータTLB / サンダーストラック散開
#  【P3 プライム】進軍十字 / 黒炎 / 災厄 / 天地 / 連撃V字 / 群竜TLB
#  【P4 2体フェーズ】ツインタニア + ネール 同時処理 / HP同期
#  【P5 金バハ】モーン・アファー集合 / アクモーン無敵切替 / エクサフレア
#
# 流派名の意味:
#  新みんとっと  = 2024-09 以降の刷新版野良主流 (旧みんとっとからの差替)
#  H3構成        = ヒーラー 3 人構成 (旧 T3 構成からの変化)
#  拘束具逆▽    = P1 拘束具 (Liquid Hell) を逆三角形に置いて視認性向上
#  カータTLB     = P2 カータライズで タンク LB3
#  進軍十字      = P3 進軍の三重奏で十字配置
#  連撃V字       = P3 連撃の三重奏で V 字配置
#  群竜TLB       = P3 群竜の八重奏 (Grand Octet) で タンク LB3
","p1, p2, p3, p4, p5"
ucob,Mizore Fukiku 日記 - 絶バハマクロ修正版 (新みんとっと派生),https://na.finalfantasyxiv.com/lodestone/character/48995158/blog/5388500/,,"p1, p2, p3, p4, p5"
ucob,GitHub akitoki/FF14_docs - 絶バハ_マクロ.txt,https://github.com/akitoki/FF14_docs/blob/master/%E7%B5%B6%E3%83%90%E3%83%8F_%E3%83%9E%E3%82%AF%E3%83%AD.txt,,"p1, p2, p3, p4, p5"
ucob,あせろぐ - 絶バハムート討滅戦 攻略まとめ＆マーカー配置 (H3構成),https://asellog.com/bahamut-ultimate/,,"p1, p2, p3, p4, p5"
uwu,りりーどーる (P1-P3 共通 - 新みんとっと / 楔逆Z / ジェイル自滅),https://jp.finalfantasyxiv.com/lodestone/character/34120564/blog/5248065/,"/p 【覚醒バフ】BH＞D4＞D1
/p 【低気圧処理】ST＞STヒラD3D4＞D1＞D2
/p 【ミストラルソング】MT：B>A>C ST：D>C>A
/p 【メソハイ】【D】…D4　 【B】…MT
/p 【インシネレート】1回目：ST/2回目：MT
/p 【楔：逆Ｚ】楔①：D1/楔②：D2/楔③：D3/楔④：D4
/p 　　 　 　　　③　 ④
/p 　　↑ 　　　　　　　　　　↑
/p 　　D3　①　　　　　　②　D4
/p 【タイタン自殺ポイント】 重み２回目（ST/メレー/レンジ）
/p 【ジェイル位置】　　　　　 |【蘇生】
/p 　ボスD4 H1 H2　　　　 | H1⇒ST　H2⇒D1　D４⇒D2/D3
/p 　ランスラ斜めに誘導　　　 |
/p 【マウンテンバスター】1回目：MT/2回目：ST(orかばう)/3回目：MT
","p1, p2, p3"
uwu,りりーどーる (P4-P6 - 新みんとっと / 十字無視 / 3111 / 乱撃TLB),https://jp.finalfantasyxiv.com/lodestone/character/34120564/blog/5248065/,"/p ＝＝＝＝＝アルテマフェーズ＝＝＝＝＝
/p 【緑玉】1回目：MTSTD1/2~4回目：MT
/p 【爆撃Ｐメソハイ】1回目：D3/2回目：灼熱ヒラ
/p 【乱撃タンクLB3法】
/p 　　　　A
/p 　　 ST
/p 　D　 ★　 B　　※★はヒラ・DPS
/p 　　　　　MT
/p 　　　　C
/p 【フェザーレイン回避方向】★→A→D
/p 【ジェイル破壊】フェザーレイン回避時にターゲット可能。殴る。
/p 【エーテル波動】ST：LB1
/p 【紫玉】MT：AB間→AD間　ST：BC間　その他：CD間
/p 【三蛮神】
/p 　・ガル(A北→A→2)→イフ(2→3)→タコ(3→2.3間→3)
","p4, p5, p6"
uwu,あせろぐ (asellog) - 絶アルテマウェポン 攻略準備&マーカー配置 (3分割マクロ),https://asellog.com/uwu/,,"p1, p2, p3, p4, p5, p6"
uwu,もず (note) - 絶アルテマまとめ (みん学/楔逆Z/ジェイル自殺式/十字無視/3111/乱撃TLB),https://note.com/mozuzuzu/n/nd4fb5fff75ab,,"p1, p2, p3, p4, p5, p6"
tea,りりーどーる (P1 - ヤークト無視 / サイコロ1211),https://na.finalfantasyxiv.com/lodestone/character/34120564/blog/5274750/,"/p ヤークト無視法（水沼の頂点を北、無い方角を南）
/p 　 D3〇北　　　　　　｜D3：可視扇を誘導後、南で合流（ヤークトの円範囲に注意）
/p 　　　　　　　　　　　｜
/p 〇　　手　　〇　　　　｜
/p D4　 ST　　H1 　　　 ｜ST：手を中央へ誘導、パーにする
/p 　　　　　　　　　　　｜D4：不可視扇後、南で合流
/p 　　　人　　　　　　　｜
/p 　　MT・H2・D1・D2 ｜MT：人型を南へ誘導、手がパーになったら挑発して南へ誘導
/p ■サイコロ１２１１
/p 　東西スタートの場合、東側優先
",p1
tea,りりーどーる (P2 - 基本散開 / ナイサイ ヒラ先渡し / 水雷処理),https://na.finalfantasyxiv.com/lodestone/character/34120564/blog/5274750/,"/p ■基本散開　　　■カウント（調整DPS・ヒラは縦に並ぶ）
/p 　　　 MT　　　　西H1　西D3D4D2D1東
/p 　　D3　D1　　　　H2
/p 　H1　　　H2　■地雷
/p 　　D2　D4　　 　D3：5時　ST：6時
/p 　　　 ST　　　 ■スーパージャンプ誘導：D3
/p ■ナイサイ処理(ヒラ先渡し)
/p 　１,２回目　MTD1/STD2/H1D3/H2D4(1回目DPSが反時計で受け渡し)
/p 　３回目　　一列：(A｝MT・D1・D3・D4・D2・ST｛C)
/p 　　　　　　ヒラ先渡し・後DPS
/p 　４回目　　タンヒラが先に並ぶ（MT・H1・H2・ST｛氷）
/p ■水雷処理
/p 　1回目　水[4]：対象H・雷以外のDPS3人　 雷[北]：対象DPS・MT
/p 　2回目　水[2]：DPS４人　　　　　　　　 雷[北]：MT・H1
/p 　3回目　水[B]：水低下以外のDPS３人・ST　雷[D]：ヒラ2人
",p2
