content_id,phase_id,name,url,copyable
ucob,p1,"Last Agous / らすと 軽減表スプレッドシート (絶バハ Patch 7.1 対応, 全Phase)",https://docs.google.com/spreadsheets/d/1pOQ3sMSUQx-E-zFJSFv5BbHIq27tASgH14WhM02k4NI/edit?usp=sharing,true
uwu,p1,"らすと (lastagous) 軽減表スプレッドシート (絶アルテマ Patch 4.31, 全Phase)",https://docs.google.com/spreadsheets/d/1C73RrIVV6sUoTxwUSiifMp_oktkxeOAWn9RbwbVrUOk/edit?usp=sharing,true
tea,p1,"Last Agous / らすと 軽減表スプレッドシート (絶アレキ TEA / patch 7.0 対応, 全Phase)",https://docs.google.com/spreadsheets/d/1B2hdvvofSn2oEKHygcEU7Knsf3bdq93jUIuyQDyhvQ0/edit?usp=sharing,true
p1s,p1,軽減表テンプレ (P1S - パッチ 6.0x 攻略時の野良標準),https://docs.google.com/spreadsheets/d/1pOQ3sMSUQx-E-zFJSFv5BbHIq27tASgH14WhM02k4NI/edit?usp=sharing,true
p2s,p1,軽減表テンプレ (P2S - パッチ 6.0x 攻略時の野良標準),https://docs.google.com/spreadsheets/d/1pOQ3sMSUQx-E-zFJSFv5BbHIq27tASgH14WhM02k4NI/edit?usp=sharing,true
p3s,p1,軽減表テンプレ (P3S - パッチ 6.0x 攻略時の野良標準),https://docs.google.com/spreadsheets/d/1pOQ3sMSUQx-E-zFJSFv5BbHIq27tASgH14WhM02k4NI/edit?usp=sharing,true
p4s,p1,軽減表テンプレ (P4S 前半 - パッチ 6.0x 攻略時の野良標準),https://docs.google.com/spreadsheets/d/1pOQ3sMSUQx-E-zFJSFv5BbHIq27tASgH14WhM02k4NI/edit?usp=sharing,true
p4s,p2,軽減表テンプレ (P4S 後半 - パッチ 6.0x 攻略時の野良標準),https://docs.google.com/spreadsheets/d/1pOQ3sMSUQx-E-zFJSFv5BbHIq27tASgH14WhM02k4NI/edit?usp=sharing,true
dsr,p1,"Last Agous / らすと 軽減表スプレッドシート (Patch 7.1 対応, 全Phase)",https://docs.google.com/spreadsheets/d/1mvMEPv8BkWObs1z37AeOZ41u0dHV5RpA8_Sbzd3x84Y/edit?usp=sharing,true
p5s,p1,Shimaji Row 軽減表 (パンデモニウム煉獄編 零式 全層 スプレッドシート),https://docs.google.com/spreadsheets/d/1bXhAgECunWRkWTn6zt7cxARg41il_wZcTVucgAu01m4/edit?usp=sharing,true
p6s,p1,Shimaji Row 軽減表 (パンデモニウム煉獄編 零式 全層 スプレッドシート),https://docs.google.com/spreadsheets/d/1bXhAgECunWRkWTn6zt7cxARg41il_wZcTVucgAu01m4/edit?usp=sharing,true
p7s,p1,Shimaji Row 軽減表 (パンデモニウム煉獄編 零式 全層 スプレッドシート),https://docs.google.com/spreadsheets/d/1bXhAgECunWRkWTn6zt7cxARg41il_wZcTVucgAu01m4/edit?usp=sharing,true
